"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","CATTLE - CALF CROP, MEASURED IN HEAD  -  <b>VALUE</b>","CATTLE - CALF CROP, MEASURED IN HEAD  -  <b>CV (%)</b>"
"SURVEY","2019","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","36,300,000",""
"SURVEY","2018","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","36,402,700",""
"SURVEY","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","35,758,200",""
"SURVEY","2016","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","35,062,700",""
"SURVEY","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","34,086,700",""
"SURVEY","2014","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","33,522,000",""
"SURVEY","2013","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","33,630,000",""
"SURVEY","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","34,469,000",""
"SURVEY","2011","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","35,357,200",""
"SURVEY","2010","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","35,739,800",""
"SURVEY","2009","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","35,939,000",""
"SURVEY","2008","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","36,157,500",""
"SURVEY","2007","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","36,758,700",""
"SURVEY","2006","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","37,015,700",""
"SURVEY","2005","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","37,106,100",""
"SURVEY","2004","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","37,260,400",""
"SURVEY","2003","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","37,592,800",""
"SURVEY","2002","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","38,223,700",""
"SURVEY","2001","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","38,300,400",""
"SURVEY","2000","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","38,630,600",""
"SURVEY","1999","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","38,796,400",""
"SURVEY","1998","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","38,812,100",""
"SURVEY","1997","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","38,960,900",""
"SURVEY","1996","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","39,823,000",""
"SURVEY","1995","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","40,263,700",""
"SURVEY","1994","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","40,104,500",""
"SURVEY","1993","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","39,369,200",""
"SURVEY","1992","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","38,933,000",""
"SURVEY","1991","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","38,583,200",""
"SURVEY","1990","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","38,613,300",""
"SURVEY","1989","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","38,816,900",""
"SURVEY","1988","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","39,317,900",""
"SURVEY","1987","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","40,152,000",""
"SURVEY","1986","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","41,182,000",""
"SURVEY","1985","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","41,050,000",""
"SURVEY","1984","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","42,470,000",""
"SURVEY","1983","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","43,885,000",""
"SURVEY","1982","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","44,200,000",""
"SURVEY","1981","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","44,666,000",""
"SURVEY","1980","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","44,938,000",""
"SURVEY","1979","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","42,596,000",""
"SURVEY","1978","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","43,818,000",""
"SURVEY","1977","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","TOTAL","NOT SPECIFIED","45,931,000",""
